index,Station,Date,Tavg,PrecipTotal,StnPressure,ResultDir,AvgSpeed,Sunlight,MIFG,TS,SQ,GR,VCFG,FG+,SN,FG,VCTS,BCFG,BR,RA,FU,DZ,TSRA,HZ
21,2,2007-05-11,61.0,0.0,29.39,36,12.8,14.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,1,2007-05-12,55.0,0.0,29.49,3,12.9,14.433333333333334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,2,2007-05-12,56.0,0.0,29.54,1,13.0,14.433333333333334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,1,2007-05-13,56.0,0.0,29.49,14,8.1,14.466666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,2,2007-05-13,56.5,0.0,29.55,11,7.6,14.466666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,1,2007-05-14,73.0,0.0,29.23,21,17.3,14.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,2,2007-05-14,72.0,0.0,29.31,21,14.6,14.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,1,2007-05-15,68.5,0.38,29.13,27,12.3,14.533333333333333,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
29,2,2007-05-15,69.0,0.6,29.19,25,10.8,14.533333333333333,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0
30,1,2007-05-16,55.0,0.14,29.33,36,12.2,14.566666666666666,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
31,2,2007-05-16,54.5,0.07,29.39,36,11.8,14.566666666666666,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
32,1,2007-05-17,52.5,0.0,29.55,3,11.3,14.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,2,2007-05-17,52.5,0.0,29.62,1,12.2,14.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,1,2007-05-18,56.5,0.0,29.53,25,7.5,14.633333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,2,2007-05-18,56.5,0.0,29.6,22,5.5,14.633333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,1,2007-05-19,68.0,0.0,29.34,24,11.4,14.666666666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,2,2007-05-19,68.0,0.0,29.41,23,11.4,14.666666666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,1,2007-05-20,56.0,0.07,29.38,4,10.7,14.7,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
39,2,2007-05-20,56.5,0.11,29.44,3,9.7,14.7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
40,1,2007-05-21,62.0,0.0,29.33,11,8.2,14.733333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,2,2007-05-21,62.5,0.0,29.39,10,7.8,14.733333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,1,2007-05-22,71.0,0.0,29.34,18,10.2,14.766666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,2,2007-05-22,73.5,0.0,29.41,16,10.6,14.766666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,1,2007-05-23,74.5,0.0,29.39,19,11.8,14.783333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,2,2007-05-23,77.5,0.0,29.47,18,11.2,14.783333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,1,2007-05-24,75.5,0.02,29.41,21,17.3,14.816666666666666,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
47,2,2007-05-24,77.0,0.0,29.47,20,15.2,14.816666666666666,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
48,1,2007-05-25,63.0,0.0,29.51,5,8.8,14.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,2,2007-05-25,61.5,0.09,29.57,5,8.2,14.85,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
50,1,2007-05-26,57.0,1.01,29.36,17,7.2,14.883333333333333,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1
51,2,2007-05-26,60.0,0.28,29.42,15,7.8,14.883333333333333,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0
52,1,2007-05-27,66.0,0.04,29.34,26,9.5,14.9,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
53,2,2007-05-27,67.0,0.08,29.41,24,9.2,14.9,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
54,1,2007-05-28,64.5,0.0,29.43,10,5.3,14.916666666666666,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
55,2,2007-05-28,65.0,0.0,29.49,8,5.2,14.916666666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,1,2007-05-29,74.0,0.0,29.39,18,6.5,14.933333333333334,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
57,2,2007-05-29,76.5,0.0,29.44,16,7.4,14.933333333333334,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
58,1,2007-05-30,76.5,0.0,29.31,19,10.6,14.966666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
59,2,2007-05-30,79.5,0.0,29.38,17,10.1,14.966666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
60,1,2007-05-31,71.5,0.01,29.28,19,9.9,14.983333333333333,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
61,2,2007-05-31,74.0,0.53,29.34,18,9.2,14.983333333333333,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
62,1,2007-06-01,73.5,0.19,29.19,17,6.4,15.016666666666667,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
63,2,2007-06-01,76.5,0.21,29.25,16,5.8,15.016666666666667,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
64,1,2007-06-02,73.0,0.04,29.03,22,7.4,15.016666666666667,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
65,2,2007-06-02,74.5,0.0,29.1,21,8.2,15.016666666666667,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
66,1,2007-06-03,70.0,0.01,28.82,25,6.7,15.05,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1
67,2,2007-06-03,70.5,0.32,28.87,24,7.2,15.05,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1
68,1,2007-06-04,64.5,0.39,28.82,31,9.7,15.066666666666666,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0
69,2,2007-06-04,64.0,0.31,28.88,30,10.1,15.066666666666666,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
70,1,2007-06-05,55.5,0.42,29.1,5,7.6,15.1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
71,2,2007-06-05,57.0,0.27,29.16,3,8.1,15.1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
72,1,2007-06-06,57.5,0.01,29.07,17,11.4,15.1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
73,2,2007-06-06,60.5,0.0,29.13,15,10.6,15.1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
74,1,2007-06-07,81.0,0.0,28.84,20,23.1,15.116666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,2,2007-06-07,81.5,0.0,28.91,19,20.7,15.116666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,1,2007-06-08,69.0,0.0,29.18,28,13.8,15.133333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,2,2007-06-08,72.0,0.0,29.24,26,12.4,15.133333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,1,2007-06-09,65.5,0.0,29.36,33,5.0,15.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,2,2007-06-09,68.0,0.0,29.42,19,4.7,15.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,1,2007-06-10,68.0,0.0,29.34,17,5.6,15.166666666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,2,2007-06-10,71.0,0.0,29.39,16,5.8,15.166666666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,1,2007-06-11,72.0,0.0,29.41,11,6.9,15.166666666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,2,2007-06-11,75.0,0.0,29.47,9,8.4,15.166666666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,1,2007-06-12,72.5,0.0,29.44,5,8.8,15.183333333333334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,2,2007-06-12,74.0,0.0,29.49,5,10.0,15.183333333333334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,1,2007-06-13,73.5,0.0,29.36,5,8.6,15.183333333333334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,2,2007-06-13,77.0,0.0,29.36,5,8.6,15.183333333333334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,1,2007-06-14,76.5,0.0,29.3,5,6.8,15.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,2,2007-06-14,78.5,0.0,29.36,7,6.4,15.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,1,2007-06-15,77.0,0.0,29.28,6,4.9,15.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,2,2007-06-15,78.0,0.0,29.34,9,4.1,15.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,1,2007-06-16,79.5,0.0,29.26,28,5.8,15.216666666666667,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
93,2,2007-06-16,80.0,0.0,29.33,22,6.1,15.216666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
94,1,2007-06-17,80.5,0.0,29.23,11,6.3,15.216666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
95,2,2007-06-17,81.0,0.16,29.28,11,6.1,15.216666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
96,1,2007-06-18,79.0,0.28,29.12,20,15.1,15.216666666666667,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
97,2,2007-06-18,81.0,0.02,29.19,20,12.6,15.216666666666667,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
98,1,2007-06-19,72.5,0.58,29.26,28,11.4,15.233333333333333,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
99,2,2007-06-19,73.0,0.93,29.31,29,11.3,15.233333333333333,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
100,1,2007-06-20,72.5,0.0,29.39,27,8.8,15.233333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,2,2007-06-20,73.5,0.0,29.46,28,7.7,15.233333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,1,2007-06-21,69.0,0.01,29.36,3,10.7,15.233333333333333,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
103,2,2007-06-21,73.0,0.0,29.41,2,9.6,15.233333333333333,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
104,1,2007-06-22,68.5,0.0,29.33,6,8.7,15.233333333333333,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
105,2,2007-06-22,68.5,0.0,29.39,7,8.1,15.233333333333333,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
106,1,2007-06-23,64.5,0.05,29.23,12,9.0,15.233333333333333,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
107,2,2007-06-23,64.5,0.34,29.28,11,8.1,15.233333333333333,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
108,1,2007-06-24,70.0,0.0,29.26,9,8.0,15.233333333333333,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
109,2,2007-06-24,70.0,0.0,29.33,10,6.0,15.233333333333333,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
110,1,2007-06-25,77.0,0.0,29.38,14,6.8,15.233333333333333,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
111,2,2007-06-25,76.5,0.0,29.44,12,5.9,15.233333333333333,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
112,1,2007-06-26,81.0,0.16,29.39,22,7.1,15.216666666666667,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1
113,2,2007-06-26,82.0,0.0,29.45,21,8.1,15.216666666666667,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
114,1,2007-06-27,81.0,0.15,29.29,24,8.8,15.216666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
115,2,2007-06-27,80.0,0.35,29.36,24,8.5,15.216666666666667,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0
116,1,2007-06-28,66.0,0.0,29.41,3,12.5,15.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117,2,2007-06-28,67.0,0.0,29.43,2,13.3,15.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,1,2007-06-29,63.0,0.0,29.41,2,8.3,15.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,2,2007-06-29,63.5,0.0,29.47,2,8.2,15.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,1,2007-06-30,66.5,0.0,29.41,3,5.8,15.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121,2,2007-06-30,67.5,0.0,29.46,4,6.2,15.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122,1,2007-07-01,64.5,0.0,29.51,4,8.6,15.183333333333334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123,2,2007-07-01,68.5,0.0,29.56,4,9.7,15.183333333333334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124,1,2007-07-02,66.0,0.0,29.49,14,8.1,15.183333333333334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,2,2007-07-02,67.5,0.0,29.55,12,8.5,15.183333333333334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126,1,2007-07-03,71.5,0.4,29.31,21,7.3,15.166666666666666,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0
127,2,2007-07-03,73.0,0.09,29.38,21,7.4,15.166666666666666,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
128,1,2007-07-04,76.5,0.16,29.18,27,8.2,15.133333333333333,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1
129,2,2007-07-04,75.5,0.66,29.23,25,8.8,15.133333333333333,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1
130,1,2007-07-05,80.0,0.0,29.24,31,8.1,15.133333333333333,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
131,2,2007-07-05,79.0,0.0,29.29,33,6.9,15.133333333333333,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
132,1,2007-07-06,76.0,0.0,29.32,5,5.5,15.116666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
133,2,2007-07-06,76.0,0.0,29.38,7,5.5,15.116666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
134,1,2007-07-07,77.0,0.0,29.18,22,8.6,15.116666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135,2,2007-07-07,78.0,0.0,29.24,23,8.1,15.116666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
136,1,2007-07-08,84.5,0.0,29.05,24,13.1,15.083333333333334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
137,2,2007-07-08,84.0,0.0,29.12,23,12.7,15.083333333333334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
138,1,2007-07-09,82.0,0.3,29.11,24,8.8,15.066666666666666,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
139,2,2007-07-09,82.5,0.24,29.16,23,8.8,15.066666666666666,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
140,1,2007-07-10,79.0,0.43,29.06,23,10.5,15.066666666666666,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
141,2,2007-07-10,79.5,0.08,29.13,23,10.2,15.066666666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
142,1,2007-07-11,69.5,0.0,29.23,30,10.9,15.033333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
143,2,2007-07-11,70.0,0.0,29.28,30,11.2,15.033333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
144,1,2007-07-12,70.5,0.0,29.22,29,11.1,15.016666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145,2,2007-07-12,70.0,0.0,29.28,28,11.4,15.016666666666667,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
146,1,2007-07-13,68.0,0.0,29.26,1,5.3,14.983333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
147,2,2007-07-13,66.5,0.0,29.33,7,5.8,14.983333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
148,1,2007-07-14,72.5,0.0,29.08,26,13.2,14.983333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
149,2,2007-07-14,73.5,0.0,29.14,25,13.9,14.983333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,1,2007-07-15,71.0,0.0,29.19,29,4.9,14.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151,2,2007-07-15,72.0,0.0,29.25,9,6.5,14.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
152,1,2007-07-16,73.5,0.39,29.25,24,5.2,14.916666666666666,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
153,2,2007-07-16,74.0,0.07,29.31,23,6.6,14.916666666666666,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
154,1,2007-07-17,75.5,0.11,29.18,23,6.5,14.9,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0
155,2,2007-07-17,76.0,0.11,29.24,23,7.4,14.9,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
156,1,2007-07-18,77.0,1.55,29.11,24,10.1,14.866666666666667,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0
157,2,2007-07-18,77.0,0.92,29.18,24,10.6,14.866666666666667,0,1,0,0,0,0,0,0,1,0,1,1,0,0,1,1
158,1,2007-07-19,73.0,0.16,29.21,1,11.9,14.833333333333334,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
159,2,2007-07-19,72.5,0.01,29.26,36,14.4,14.833333333333334,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
160,1,2007-07-20,66.5,0.0,29.44,3,9.1,14.833333333333334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
161,2,2007-07-20,68.0,0.0,29.49,4,11.5,14.833333333333334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
162,1,2007-07-21,66.0,0.0,29.51,3,7.4,14.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
163,2,2007-07-21,66.5,0.0,29.57,4,7.4,14.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
164,1,2007-07-22,69.5,0.0,29.49,16,3.3,14.766666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
165,2,2007-07-22,71.0,0.0,29.54,18,3.5,14.766666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
166,1,2007-07-23,71.5,0.0,29.37,9,4.0,14.733333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
167,2,2007-07-23,72.5,0.0,29.42,12,3.9,14.733333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
168,1,2007-07-24,73.5,0.0,29.32,20,5.2,14.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
169,2,2007-07-24,73.5,0.0,29.38,21,4.9,14.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170,1,2007-07-25,78.0,0.0,29.29,25,6.6,14.666666666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
171,2,2007-07-25,76.5,0.0,29.35,23,7.0,14.666666666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
172,1,2007-07-26,74.5,0.19,29.19,22,9.4,14.65,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1
173,2,2007-07-26,74.0,0.89,29.25,22,9.9,14.65,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1
174,1,2007-07-27,76.5,0.17,29.11,3,7.9,14.616666666666667,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1
175,2,2007-07-27,76.5,0.04,29.16,36,8.1,14.616666666666667,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1
176,1,2007-07-28,73.0,0.0,29.23,3,10.2,14.583333333333334,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
177,2,2007-07-28,75.0,0.0,29.28,3,10.7,14.583333333333334,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
178,1,2007-07-29,74.0,0.0,29.28,5,5.7,14.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
179,2,2007-07-29,76.0,0.0,29.34,5,6.9,14.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180,1,2007-07-30,75.5,0.0,29.33,6,4.3,14.516666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
181,2,2007-07-30,75.5,0.0,29.39,6,4.6,14.516666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
182,1,2007-07-31,79.5,0.0,29.33,4,4.9,14.483333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
183,2,2007-07-31,79.0,0.0,29.39,7,5.0,14.483333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
184,1,2007-08-01,80.5,0.0,29.29,9,4.1,14.433333333333334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
185,2,2007-08-01,80.0,0.0,29.34,13,3.7,14.433333333333334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
186,1,2007-08-02,80.5,0.0,29.26,26,5.9,14.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
187,2,2007-08-02,82.0,0.0,29.31,23,7.2,14.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
188,1,2007-08-03,79.5,0.0,29.31,3,5.7,14.366666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
189,2,2007-08-03,80.5,0.0,29.36,6,5.8,14.366666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
190,1,2007-08-04,72.5,0.03,29.31,8,6.1,14.333333333333334,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
191,2,2007-08-04,74.5,0.02,29.36,9,6.6,14.333333333333334,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
192,1,2007-08-05,77.5,1.43,29.08,21,9.6,14.3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1
193,2,2007-08-05,78.0,0.97,29.15,22,10.2,14.3,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0
194,1,2007-08-06,81.0,0.26,29.13,10,4.9,14.266666666666667,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1
195,2,2007-08-06,80.0,0.05,29.17,10,4.6,14.266666666666667,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1
196,1,2007-08-07,81.5,1.31,29.06,25,9.0,14.216666666666667,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
197,2,2007-08-07,82.5,0.06,29.11,24,8.8,14.216666666666667,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
198,1,2007-08-08,80.0,0.06,29.13,3,6.9,14.183333333333334,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0
199,2,2007-08-08,80.5,0.09,29.18,4,6.4,14.183333333333334,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1
200,1,2007-08-09,78.0,0.05,29.13,29,6.0,14.15,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
201,2,2007-08-09,79.0,0.46,29.19,27,6.3,14.15,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
